epoch,acc,loss,val_acc,val_loss
0,0.162526709402,8.37235667461,0.0204918032787,11.3263804643
1,0.224959935897,7.79320439569,0.0504610655738,5.59075368315
2,0.323450854701,7.57580660143,0.0306736680328,7.74617527468
3,0.140491452991,8.21360573198,0.0456582991803,5.33348818785
4,0.247462606838,8.38741759739,0.00998975409836,3.92754477629
5,0.481370192308,7.30145022018,0.0181864754098,11.256176886
6,0.482839209402,10.4085371698,0.508068647541,11.6880963638
7,0.481103098291,10.9369745265,0.508773053279,11.6953214317
8,0.482772435897,8.42841409007,0.508132684426,11.6478424119
9,0.481436965812,9.74026537655,0.507300204918,4.5374509523
10,0.481236645299,7.15071226414,0.507300204918,4.41554900564
11,0.48297275641,10.7647696112,0.508004610656,11.5890096922
12,0.482371794872,10.7529307369,0.509349385246,11.5931382998
13,0.482171474359,10.7464731259,0.509349385246,11.5838489325
14,0.480635683761,9.33707414173,0.508388831967,10.4804937446
15,0.483640491453,10.9197513018,0.508516905738,11.7025465035
16,0.480635683761,10.9584967367,0.508516905738,11.6891285208
17,0.481704059829,10.9595729632,0.507492315574,11.7025465035
18,0.481837606838,10.9154462346,0.509349385246,11.7025465035
19,0.483173076923,10.9628017489,0.507876536885,11.6788069936
