epoch,acc,loss,val_acc,val_loss
0,0.0709802350427,8.92449919001,0.0266393442623,3.87402589558
1,0.069577991453,6.26269904696,0.0185066598361,3.8418153216
2,0.0868055555556,6.18130084376,0.0023693647541,12.4839371531
3,0.263354700855,5.95743891164,0.0134477459016,10.9969321907
4,0.0828659188034,12.6051950618,0.0229892418033,3.77197185945
5,0.0828659188034,11.5850309322,0.0397028688525,5.63996171292
6,0.0828659188034,3.53551974944,0.0810066598361,4.04999719621
7,0.134815705128,4.09430578911,0.513896004098,3.07371174133
8,0.410256410256,5.5817325482,0.506403688525,4.92924306195
9,0.482438568376,3.21264123127,0.511334528689,4.0850234798
10,0.48203792735,3.74874235753,0.47521772541,4.4580404305
11,0.482438568376,3.19219225823,0.512231045082,3.6455245605
12,0.481103098291,3.23309020838,0.504610655738,3.55102697867
13,0.482905982906,3.21156497083,0.508709016393,3.75048616383
14,0.481770833333,3.23631898282,0.473616803279,3.6857047064
